nodes	percent_of_prediction	percent_of_DWPC	metapath
Reserpine—ABCB11—Metabolism—SEC23A—IgA glomerulonephritis	0.000342	0.000484	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—ALOX5AP—IgA glomerulonephritis	0.000333	0.000472	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ADSS—IgA glomerulonephritis	0.000331	0.00047	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—SGPP1—IgA glomerulonephritis	0.000331	0.00047	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ETNK1—IgA glomerulonephritis	0.000331	0.00047	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—LPGAT1—IgA glomerulonephritis	0.000331	0.00047	CbGpPWpGaD
Reserpine—ABCB11—Metabolism of lipids and lipoproteins—CD36—IgA glomerulonephritis	0.000329	0.000466	CbGpPWpGaD
Reserpine—ABCC2—NRF2 pathway—TGFB1—IgA glomerulonephritis	0.000324	0.000459	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—GGCT—IgA glomerulonephritis	0.000323	0.000458	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—UGCG—IgA glomerulonephritis	0.000323	0.000458	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—MARCKS—IgA glomerulonephritis	0.000323	0.000458	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—GLIPR1—IgA glomerulonephritis	0.000323	0.000458	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—MTRR—IgA glomerulonephritis	0.000322	0.000457	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—AGPS—IgA glomerulonephritis	0.000322	0.000457	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—GBE1—IgA glomerulonephritis	0.000322	0.000457	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—PDHX—IgA glomerulonephritis	0.000322	0.000457	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—HEXB—IgA glomerulonephritis	0.000312	0.000443	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—PSAP—IgA glomerulonephritis	0.000312	0.000443	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ATP5F1—IgA glomerulonephritis	0.000308	0.000437	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—AGL—IgA glomerulonephritis	0.000308	0.000437	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—KYNU—IgA glomerulonephritis	0.000308	0.000437	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—CMPK1—IgA glomerulonephritis	0.000307	0.000435	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—LYPLA1—IgA glomerulonephritis	0.000307	0.000435	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—TYMS—IgA glomerulonephritis	0.000305	0.000432	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—TNFRSF21—IgA glomerulonephritis	0.000303	0.00043	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—SAT1—IgA glomerulonephritis	0.000303	0.00043	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—MTRR—IgA glomerulonephritis	0.000301	0.000426	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—PDHX—IgA glomerulonephritis	0.000301	0.000426	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—AGPS—IgA glomerulonephritis	0.000301	0.000426	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—GBE1—IgA glomerulonephritis	0.000301	0.000426	CbGpPWpGaD
Reserpine—SLC18A2—Neuronal System—MAPK1—IgA glomerulonephritis	0.0003	0.000426	CbGpPWpGaD
Reserpine—ABCB11—Metabolism of lipids and lipoproteins—AGT—IgA glomerulonephritis	0.000296	0.000419	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—MTMR3—IgA glomerulonephritis	0.000295	0.000418	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—HEXB—IgA glomerulonephritis	0.000291	0.000413	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—PSAP—IgA glomerulonephritis	0.000291	0.000413	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—MAT2A—IgA glomerulonephritis	0.00029	0.000411	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—CHST2—IgA glomerulonephritis	0.00029	0.000411	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—TNFRSF21—IgA glomerulonephritis	0.000283	0.000401	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—SAT1—IgA glomerulonephritis	0.000283	0.000401	CbGpPWpGaD
Reserpine—SLC22A2—SLC-mediated transmembrane transport—ALB—IgA glomerulonephritis	0.000278	0.000394	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—PCNA—IgA glomerulonephritis	0.000275	0.00039	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—MTMR3—IgA glomerulonephritis	0.000275	0.00039	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ELOVL6—IgA glomerulonephritis	0.000275	0.000389	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—IMPA1—IgA glomerulonephritis	0.000275	0.000389	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—DEGS1—IgA glomerulonephritis	0.000275	0.000389	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—GNG12—IgA glomerulonephritis	0.000274	0.000389	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—RRM2—IgA glomerulonephritis	0.000274	0.000389	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—CCNC—IgA glomerulonephritis	0.000274	0.000389	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—GNS—IgA glomerulonephritis	0.000274	0.000389	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—BCAT1—IgA glomerulonephritis	0.000273	0.000388	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—MINPP1—IgA glomerulonephritis	0.000273	0.000388	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—RPE—IgA glomerulonephritis	0.000273	0.000388	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—NNT—IgA glomerulonephritis	0.000273	0.000388	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—AZIN1—IgA glomerulonephritis	0.000273	0.000388	CbGpPWpGaD
Reserpine—ABCC2—Transmembrane transport of small molecules—HMOX1—IgA glomerulonephritis	0.000273	0.000387	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—ATP2B1—IgA glomerulonephritis	0.000272	0.000386	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—IQGAP1—IgA glomerulonephritis	0.000263	0.000373	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—TBL1XR1—IgA glomerulonephritis	0.000261	0.00037	CbGpPWpGaD
Reserpine—SLC18A2—Transmembrane transport of small molecules—ALB—IgA glomerulonephritis	0.00026	0.000369	CbGpPWpGaD
Reserpine—SLC22A1—SLC-mediated transmembrane transport—ALB—IgA glomerulonephritis	0.000259	0.000367	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—HPSE—IgA glomerulonephritis	0.000258	0.000366	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—GNS—IgA glomerulonephritis	0.000256	0.000362	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—CCNC—IgA glomerulonephritis	0.000256	0.000362	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—NAMPT—IgA glomerulonephritis	0.000254	0.00036	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—GLIPR1—IgA glomerulonephritis	0.000251	0.000356	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—UGCG—IgA glomerulonephritis	0.000251	0.000356	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—MARCKS—IgA glomerulonephritis	0.000251	0.000356	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—GGCT—IgA glomerulonephritis	0.000251	0.000356	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—LPGAT1—IgA glomerulonephritis	0.00025	0.000355	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—SGPP1—IgA glomerulonephritis	0.00025	0.000355	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ETNK1—IgA glomerulonephritis	0.00025	0.000355	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ADSS—IgA glomerulonephritis	0.00025	0.000355	CbGpPWpGaD
Reserpine—ABCB1—Allograft Rejection—TGFB1—IgA glomerulonephritis	0.000249	0.000353	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—IQGAP1—IgA glomerulonephritis	0.000245	0.000347	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—UCP2—IgA glomerulonephritis	0.000244	0.000347	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—HMMR—IgA glomerulonephritis	0.000244	0.000347	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—SLC1A3—IgA glomerulonephritis	0.000242	0.000344	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—HPSE—IgA glomerulonephritis	0.00024	0.000341	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—ACSL1—IgA glomerulonephritis	0.000237	0.000336	CbGpPWpGaD
Reserpine—SLC22A2—Transmembrane transport of small molecules—HMOX1—IgA glomerulonephritis	0.000235	0.000333	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—GBE1—IgA glomerulonephritis	0.000233	0.000331	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—MTRR—IgA glomerulonephritis	0.000233	0.000331	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—PDHX—IgA glomerulonephritis	0.000233	0.000331	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—AGPS—IgA glomerulonephritis	0.000233	0.000331	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—KYNU—IgA glomerulonephritis	0.000232	0.00033	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—AGL—IgA glomerulonephritis	0.000232	0.00033	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ATP5F1—IgA glomerulonephritis	0.000232	0.00033	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—HMMR—IgA glomerulonephritis	0.000228	0.000323	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—UCP2—IgA glomerulonephritis	0.000228	0.000323	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—PSME3—IgA glomerulonephritis	0.000227	0.000322	CbGpPWpGaD
Reserpine—ABCB11—Metabolism of lipids and lipoproteins—ALB—IgA glomerulonephritis	0.000227	0.000322	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—HEXB—IgA glomerulonephritis	0.000226	0.000321	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—PSAP—IgA glomerulonephritis	0.000226	0.000321	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—SEC23A—IgA glomerulonephritis	0.000224	0.000317	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—TBL1XR1—IgA glomerulonephritis	0.000224	0.000317	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—ACSL1—IgA glomerulonephritis	0.000221	0.000313	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—TNFRSF21—IgA glomerulonephritis	0.00022	0.000311	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—SAT1—IgA glomerulonephritis	0.00022	0.000311	CbGpPWpGaD
Reserpine—SLC22A1—Transmembrane transport of small molecules—HMOX1—IgA glomerulonephritis	0.000219	0.000311	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—MAT2A—IgA glomerulonephritis	0.000219	0.00031	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—CHST2—IgA glomerulonephritis	0.000219	0.00031	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—ALOX5AP—IgA glomerulonephritis	0.000218	0.000309	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—CP—IgA glomerulonephritis	0.000216	0.000306	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—MTMR3—IgA glomerulonephritis	0.000214	0.000303	CbGpPWpGaD
Reserpine—SLC22A2—Transmission across Chemical Synapses—MAPK1—IgA glomerulonephritis	0.000213	0.000301	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—GNG12—IgA glomerulonephritis	0.000209	0.000297	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—TBL1XR1—IgA glomerulonephritis	0.000208	0.000295	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—SEC23A—IgA glomerulonephritis	0.000208	0.000295	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ELOVL6—IgA glomerulonephritis	0.000207	0.000294	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—IMPA1—IgA glomerulonephritis	0.000207	0.000294	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—DEGS1—IgA glomerulonephritis	0.000207	0.000294	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—CD44—IgA glomerulonephritis	0.000205	0.00029	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—ALOX5AP—IgA glomerulonephritis	0.000203	0.000288	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—GNS—IgA glomerulonephritis	0.000199	0.000281	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—CCNC—IgA glomerulonephritis	0.000199	0.000281	CbGpPWpGaD
Reserpine—SLC22A1—Transmission across Chemical Synapses—MAPK1—IgA glomerulonephritis	0.000198	0.000281	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—ABCA1—IgA glomerulonephritis	0.000196	0.000278	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—IQGAP1—IgA glomerulonephritis	0.00019	0.00027	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—MARCKS—IgA glomerulonephritis	0.00019	0.000269	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—UGCG—IgA glomerulonephritis	0.00019	0.000269	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—GLIPR1—IgA glomerulonephritis	0.00019	0.000269	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—GGCT—IgA glomerulonephritis	0.00019	0.000269	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—HPSE—IgA glomerulonephritis	0.000187	0.000265	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—GNG12—IgA glomerulonephritis	0.000179	0.000254	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—RRM2—IgA glomerulonephritis	0.000179	0.000254	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—HMMR—IgA glomerulonephritis	0.000177	0.000251	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—UCP2—IgA glomerulonephritis	0.000177	0.000251	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—MTRR—IgA glomerulonephritis	0.000176	0.00025	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—AGPS—IgA glomerulonephritis	0.000176	0.00025	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—GBE1—IgA glomerulonephritis	0.000176	0.00025	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—PDHX—IgA glomerulonephritis	0.000176	0.00025	CbGpPWpGaD
Reserpine—ABCB11—Metabolism of lipids and lipoproteins—PTEN—IgA glomerulonephritis	0.000173	0.000246	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ACSL1—IgA glomerulonephritis	0.000171	0.000243	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—PSAP—IgA glomerulonephritis	0.000171	0.000242	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—HEXB—IgA glomerulonephritis	0.000171	0.000242	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—HMOX1—IgA glomerulonephritis	0.000168	0.000239	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—RRM2—IgA glomerulonephritis	0.000167	0.000237	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—GNG12—IgA glomerulonephritis	0.000167	0.000237	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—NAMPT—IgA glomerulonephritis	0.000166	0.000236	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—TNFRSF21—IgA glomerulonephritis	0.000166	0.000235	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—SAT1—IgA glomerulonephritis	0.000166	0.000235	CbGpPWpGaD
Reserpine—ABCC2—Transmembrane transport of small molecules—ALB—IgA glomerulonephritis	0.000164	0.000233	CbGpPWpGaD
Reserpine—SLC22A2—Neuronal System—MAPK1—IgA glomerulonephritis	0.000163	0.000231	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—TBL1XR1—IgA glomerulonephritis	0.000162	0.000229	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—SEC23A—IgA glomerulonephritis	0.000162	0.000229	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—MTMR3—IgA glomerulonephritis	0.000161	0.000228	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—TYMS—IgA glomerulonephritis	0.000159	0.000225	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ALOX5AP—IgA glomerulonephritis	0.000158	0.000224	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—NAMPT—IgA glomerulonephritis	0.000155	0.00022	CbGpPWpGaD
Reserpine—SLC22A1—Neuronal System—MAPK1—IgA glomerulonephritis	0.000152	0.000215	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—GNS—IgA glomerulonephritis	0.00015	0.000212	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—CCNC—IgA glomerulonephritis	0.00015	0.000212	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—PSME3—IgA glomerulonephritis	0.000149	0.000211	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—PTEN—IgA glomerulonephritis	0.000148	0.00021	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—CD36—IgA glomerulonephritis	0.000146	0.000207	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—IQGAP1—IgA glomerulonephritis	0.000144	0.000204	CbGpPWpGaD
Reserpine—SLC22A2—Transmembrane transport of small molecules—ALB—IgA glomerulonephritis	0.000141	0.0002	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—HPSE—IgA glomerulonephritis	0.000141	0.0002	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—PSME3—IgA glomerulonephritis	0.000139	0.000197	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—CD44—IgA glomerulonephritis	0.000134	0.00019	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—HMMR—IgA glomerulonephritis	0.000134	0.000189	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—UCP2—IgA glomerulonephritis	0.000134	0.000189	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—AGT—IgA glomerulonephritis	0.000132	0.000187	CbGpPWpGaD
Reserpine—SLC22A1—Transmembrane transport of small molecules—ALB—IgA glomerulonephritis	0.000132	0.000187	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—GNG12—IgA glomerulonephritis	0.00013	0.000184	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—RRM2—IgA glomerulonephritis	0.00013	0.000184	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ACSL1—IgA glomerulonephritis	0.000129	0.000183	CbGpPWpGaD
Reserpine—ABCB1—Transmembrane transport of small molecules—HMOX1—IgA glomerulonephritis	0.000128	0.000182	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—ABCA1—IgA glomerulonephritis	0.000128	0.000182	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—CD44—IgA glomerulonephritis	0.000125	0.000177	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—TGFB1—IgA glomerulonephritis	0.000123	0.000174	CbGpPWpGaD
Reserpine—ABCB11—Metabolism of lipids and lipoproteins—PIK3CA—IgA glomerulonephritis	0.000122	0.000173	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—TBL1XR1—IgA glomerulonephritis	0.000122	0.000173	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—SEC23A—IgA glomerulonephritis	0.000122	0.000173	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—MAPK1—IgA glomerulonephritis	0.000121	0.000171	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—NAMPT—IgA glomerulonephritis	0.00012	0.000171	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—ABCA1—IgA glomerulonephritis	0.00012	0.00017	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—ALOX5AP—IgA glomerulonephritis	0.000119	0.000169	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—HMOX1—IgA glomerulonephritis	0.00011	0.000156	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—PSME3—IgA glomerulonephritis	0.000108	0.000153	CbGpPWpGaD
Reserpine—ABCB1—Integrated Pancreatic Cancer Pathway—PIK3CA—IgA glomerulonephritis	0.000105	0.000148	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—TYMS—IgA glomerulonephritis	0.000104	0.000147	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—HMOX1—IgA glomerulonephritis	0.000103	0.000146	CbGpPWpGaD
Reserpine—ABCB11—Metabolism—ALB—IgA glomerulonephritis	0.000101	0.000143	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—RRM2—IgA glomerulonephritis	9.8e-05	0.000139	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—GNG12—IgA glomerulonephritis	9.8e-05	0.000139	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—CD44—IgA glomerulonephritis	9.69e-05	0.000137	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—TYMS—IgA glomerulonephritis	9.68e-05	0.000137	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—CD36—IgA glomerulonephritis	9.57e-05	0.000136	CbGpPWpGaD
Reserpine—CYP3A5—Metabolism—ABCA1—IgA glomerulonephritis	9.29e-05	0.000132	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—NAMPT—IgA glomerulonephritis	9.08e-05	0.000129	CbGpPWpGaD
Reserpine—SLC22A1—Metabolism—CD36—IgA glomerulonephritis	8.92e-05	0.000126	CbGpPWpGaD
Reserpine—SLC22A2—Metabolism—AGT—IgA glomerulonephritis	8.62e-05	0.000122	CbGpPWpGaD
Reserpine—ABCB1—Metabolism—PSME3—IgA glomerulonephritis	8.13e-05	0.000115	CbGpPWpGaD
